Time [s],Value,ASCII
1.036094100000000,orphanedData Channel: -2 [B],b
1.036414440000000,orphanedData Channel: -2 [B],2
1.036734780000000,orphanedData Channel: -2 [B],d
1.037055140000000,orphanedData Channel: -2 [B],1
1.037375480000000,orphanedData Channel: -2 [B],a
1.037695820000000,orphanedData Channel: -2 [B],f
1.038016160000000,orphanedData Channel: -2 [B],b
1.038336500000000,orphanedData Channel: -2 [B],6
1.038656860000000,orphanedData Channel: -2 [B],d
1.038977200000000,orphanedData Channel: -2 [B],f
1.039297540000000,orphanedData Channel: -2 [B],5
1.039617880000000,orphanedData Channel: -2 [B],4
1.039938240000000,orphanedData Channel: -2 [B],5
1.040258580000000,orphanedData Channel: -2 [B],7
1.040578920000000,orphanedData Channel: -2 [B],8
1.040899260000000,orphanedData Channel: -2 [B],0
1.041219600000000,orphanedData Channel: -2 [B],6
1.041539960000000,orphanedData Channel: -2 [B],5
1.041860300000000,orphanedData Channel: -2 [B],f
1.042180640000000,orphanedData Channel: -2 [B],1
1.042500980000000,orphanedData Channel: -2 [B],d
1.042821340000000,orphanedData Channel: -2 [B],8
1.043141680000000,orphanedData Channel: -2 [B],b
1.043462020000000,orphanedData Channel: -2 [B],b
1.043782360000000,orphanedData Channel: -2 [B],a
1.044102720000000,orphanedData Channel: -2 [B],8
1.044423060000000,orphanedData Channel: -2 [B],9
1.044743400000000,orphanedData Channel: -2 [B],8
1.045063740000000,orphanedData Channel: -2 [B],0
1.045384080000000,orphanedData Channel: -2 [B],1
1.045704440000000,orphanedData Channel: -2 [B],d
1.046024780000000,orphanedData Channel: -2 [B],3
1.046345120000000,orphanedData Channel: -2 [B],e
1.046665460000000,orphanedData Channel: -2 [B],f
1.046985820000000,orphanedData Channel: -2 [B],2
1.047306160000000,orphanedData Channel: -2 [B],\r
1.047626500000000,orphanedData Channel: -2 [B],\n
1.047946840000000,orphanedData Channel: -2 [B],[
1.048267180000000,orphanedData Channel: -2 [B],M
1.048587540000000,orphanedData Channel: -2 [B],S
1.048907880000000,orphanedData Channel: -2 [B],G
1.049228220000000,orphanedData Channel: -2 [B],]
1.049548560000000,orphanedData Channel: -2 [B], 
1.049868920000000,orphanedData Channel: -2 [B],A
1.050189260000000,orphanedData Channel: -2 [B],c
1.050509600000000,orphanedData Channel: -2 [B],t
1.050829940000000,orphanedData Channel: -2 [B],i
1.051150280000000,orphanedData Channel: -2 [B],v
1.051470640000000,orphanedData Channel: -2 [B],i
1.051790980000000,orphanedData Channel: -2 [B],t
1.052111320000000,orphanedData Channel: -2 [B],y
1.052431660000000,orphanedData Channel: -2 [B], 
1.052752020000000,orphanedData Channel: -2 [B],f
1.053072360000000,orphanedData Channel: -2 [B],r
1.053392700000000,orphanedData Channel: -2 [B],o
1.053713040000000,orphanedData Channel: -2 [B],m
1.054033400000000,orphanedData Channel: -2 [B],:
1.054353740000000,orphanedData Channel: -2 [B], 
1.054674080000000,orphanedData Channel: -2 [B],6
1.054994420000000,orphanedData Channel: -2 [B],5
1.055314760000000,orphanedData Channel: -2 [B],e
1.055635120000000,orphanedData Channel: -2 [B],c
1.055955460000000,orphanedData Channel: -2 [B],3
1.056275800000000,orphanedData Channel: -2 [B],1
1.056596140000000,orphanedData Channel: -2 [B],2
1.056916500000000,orphanedData Channel: -2 [B],3
1.057236840000000,orphanedData Channel: -2 [B],2
1.057557180000000,orphanedData Channel: -2 [B],5
1.057877520000000,orphanedData Channel: -2 [B],f
1.058197880000000,orphanedData Channel: -2 [B],4
1.058518220000000,orphanedData Channel: -2 [B],3
